Marital status;Immigrants improve american society  ;R experienced sexual harassment;Homosexuals should have right to marry;Have ever legally adopted a child;What is your relationship situation;Has r avoided travel to certain cities;Number of adult owing a gun in household;Should gun control law be stricter after 911 ;Should background check be required for private gun sale;Think yourself as a feminist?  ;Should abortion ever be legal;Pregnant as result of rape;Does r smoke;Age of respondent;Sexual orientation
Separated;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;35;Bisexual
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;33;Not applicable
Divorced;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;44;Heterosexual or straight
Married;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;41;Heterosexual or straight
Divorced;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;52;Not applicable
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;45;Heterosexual or straight
Divorced;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;41;Not applicable
Separated;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No;Not applicable;41;Heterosexual or straight
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;68;Not applicable
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;57;Heterosexual or straight
Married;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;72;Heterosexual or straight
Divorced;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No answer;Not applicable;68;Not applicable
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;50;Heterosexual or straight
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;58;Gay, lesbian, or homosexual
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;43;Gay, lesbian, or homosexual
Never married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;25;Heterosexual or straight
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;33;Heterosexual or straight
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;27;Not applicable
Married;Not applicable;Not applicable;Disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;58;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;66;Heterosexual or straight
Separated;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;66;Not applicable
Widowed;Not applicable;Not applicable;Neither agree nor disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;89 or older;Not applicable
Married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;29;Heterosexual or straight
Never married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Don't know;Not applicable;89 or older;Not applicable
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;78;Heterosexual or straight
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;52;Not applicable
Never married;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;50;Not applicable
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;25;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;37;Not applicable
Divorced;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;54;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly disagree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;No answer;Not applicable;52;Not applicable
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;48;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;32;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;29;Heterosexual or straight
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;75;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;59;Gay, lesbian, or homosexual
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;81;Heterosexual or straight
Married;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;69;Gay, lesbian, or homosexual
Married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;55;Not applicable
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;52;Heterosexual or straight
Never married;Not applicable;Not applicable;Strongly agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;33;Heterosexual or straight
Divorced;Not applicable;Not applicable;Agree;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Not applicable;Yes;Not applicable;56;Not applicable
